Time_s,Ch1
0,0.001556396
0.015625,-0.003631592
0.03125,-0.003753662
0.046875,-0.003692627
0.0625,-0.003631592
0.078125,-0.00378418
0.09375,-0.003753662
0.109375,-0.003753662
0.125,-0.003814697
0.140625,-0.003845215
0.15625,-0.003845215
0.171875,-0.003845215
0.1875,-0.003814697
0.203125,-0.003723145
0.21875,-0.00378418
0.234375,-0.003631592
0.25,-0.003662109
0.265625,-0.003631592
0.28125,-0.003662109
0.296875,-0.003601074
0.3125,-0.003509521
0.328125,-0.003540039
0.34375,-0.003479004
0.359375,-0.003570557
0.375,-0.003540039
0.390625,-0.003387451
0.40625,-0.003509521
0.421875,-0.003509521
0.4375,-0.003509521
0.453125,-0.003479004
0.46875,-0.003509521
0.484375,-0.003448486
0.5,-0.003509521
0.515625,-0.003417969
0.53125,-0.003509521
0.546875,-0.003509521
0.5625,-0.003417969
0.578125,-0.003448486
0.59375,-0.003417969
0.609375,-0.003417969
0.625,-0.003356934
0.640625,-0.003295898
0.65625,-0.003387451
0.671875,-0.003387451
0.6875,-0.003448486
0.703125,-0.003356934
0.71875,-0.003265381
0.734375,-0.003356934
0.75,-0.003387451
0.765625,-0.003326416
0.78125,-0.003326416
0.796875,-0.003204346
0.8125,-0.003265381
0.828125,-0.003631592
0.84375,-0.003265381
0.859375,-0.003326416
0.875,-0.00378418
0.890625,-0.003509521
0.90625,-0.004821777
0.921875,-0.004730225
0.9375,-0.005462646
0.953125,-0.005859375
0.96875,-0.005706787
0.984375,-0.005523682
1,-0.005340576
1.015625,-0.005432129
1.03125,-0.005249023
1.046875,-0.005615234
1.0625,-0.005615234
1.078125,-0.005340576
1.09375,-0.003967285
1.109375,-0.003967285
1.125,-0.004852295
1.140625,-0.005310059
1.15625,-0.005767822
1.171875,-0.005065918
1.1875,-0.004577637
1.203125,-0.004669189
1.21875,-0.004882812
1.234375,-0.004760742
1.25,-0.004699707
1.265625,-0.004486084
1.28125,-0.005279541
1.296875,-0.004455566
1.3125,-0.003967285
1.328125,-0.005401611
1.34375,-0.006103516
1.359375,-0.005279541
1.375,-0.006134033
1.390625,-0.006774902
1.40625,-0.007629395
1.421875,-0.006225586
1.4375,-0.0078125
1.453125,-0.009124756
1.46875,-0.00881958
1.484375,-0.007965088
1.5,-0.00479126
1.515625,-0.003295898
1.53125,-0.003326416
1.546875,-0.003814697
1.5625,-0.005371094
1.578125,0.002075195
1.59375,0.002838135
1.609375,0.004425049
1.625,0.005310059
1.640625,0.005462646
1.65625,0.002441406
1.671875,0.001831055
1.6875,0.001098633
1.703125,0.0008239746
1.71875,0.0009460449
1.734375,0.001739502
1.75,0.0003051758
1.765625,0.0002441406
1.78125,0.0001525879
1.796875,-0.000213623
1.8125,0.0001220703
1.828125,0.000579834
1.84375,0.0006408691
1.859375,0.0003051758
1.875,-0.0001525879
1.890625,-0.0007019043
1.90625,-0.001678467
1.921875,-0.002044678
1.9375,-0.002075195
1.953125,-0.002868652
1.96875,-0.003540039
1.984375,-0.006286621
2,-0.006561279
2.015625,-0.006469727
2.03125,-0.006378174
2.046875,-0.006072998
2.0625,-0.005767822
2.078125,-0.006866455
2.09375,-0.007293701
2.109375,-0.007141113
2.125,-0.006591797
2.140625,-0.00793457
2.15625,-0.0078125
2.171875,-0.008148193
2.1875,-0.008392334
2.203125,-0.007720947
2.21875,-0.007202148
2.234375,-0.007507324
2.25,-0.007324219
2.265625,-0.007476807
2.28125,-0.01037598
2.296875,-0.006347656
2.3125,-0.006530762
2.328125,-0.007415771
2.34375,-0.007720947
2.359375,-0.007781982
2.375,-0.007415771
2.390625,-0.007385254
2.40625,-0.006988525
2.421875,-0.006958008
2.4375,-0.007019043
2.453125,-0.008544922
2.46875,-0.008300781
2.484375,-0.007263184
2.5,-0.006652832
2.515625,-0.006652832
2.53125,-0.007080078
2.546875,-0.007720947
2.5625,-0.00769043
2.578125,-0.007507324
2.59375,-0.007080078
2.609375,-0.006744385
2.625,-0.006958008
2.640625,-0.007476807
2.65625,-0.00793457
2.671875,-0.007843018
2.6875,-0.007781982
2.703125,-0.007385254
2.71875,-0.007629395
2.734375,-0.008026123
2.75,-0.008178711
2.765625,-0.008026123
2.78125,-0.007415771
2.796875,-0.007141113
2.8125,-0.006866455
2.828125,-0.006561279
2.84375,-0.006195068
2.859375,-0.006713867
