Time_s,Ch1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0.04083252
9,0.04083252
10,0.04083252
11,0.01046753
12,0.01046753
13,0.0350647
14,0.0350647
15,0.0350647
16,0.02304077
17,0.02304077
18,0.02304077
19,0.02722168
20,0.02722168
21,0.007843018
22,0.007843018
23,0.02563477
24,0.02563477
25,0.02563477
26,0.02563477
27,0.02563477
28,0.04135132
29,0.04135132
30,0.04135132
31,0.02825928
32,0.02825928
33,0.02825928
34,0.01934814
35,0.01934814
36,0.01934814
37,0.01934814
38,0.01934814
39,0.01934814
40,0.01934814
41,0.02774048
42,0.02774048
43,0.02511597
44,0.02511597
45,0.02511597
46,0.02093506
47,0.02093506
48,0.02093506
49,0.01727295
50,0.01727295
51,0.02249146
52,0.02249146
53,0.02355957
54,0.02355957
55,0.02355957
56,0.03192139
57,0.03192139
58,0.03192139
59,0.0324707
60,0.0324707
61,0.0324707
62,0.02618408
63,0.02618408
64,0.02618408
65,0.05078125
66,0.05078125
67,0.05078125
68,0.02932739
69,0.02932739
70,0.02932739
71,0.02932739
72,0.02355957
73,0.02355957
74,0.0329895
75,0.0329895
76,0.02197266
77,0.02197266
78,0.03561401
79,0.03561401
80,0.03561401
81,0.03561401
82,0.02304077
83,0.02304077
84,0.02304077
85,0.01882935
86,0.01882935
87,0.01882935
88,0.02304077
89,0.02304077
90,0.02093506
91,0.02722168
92,0.02722168
93,0.02722168
94,0.05969238
95,0.05969238
96,0.05969238
97,0.05969238
98,0.01516724
99,0.01516724
100,0.01516724
101,0.01516724
102,0.01516724
103,0.01516724
104,0.04135132
105,0.04135132
106,0.04135132
107,0.01516724
108,0.01516724
109,0.02041626
110,0.02041626
111,0.02041626
112,0.02041626
113,0.02041626
114,0.02041626
115,0.02041626
116,0.02041626
117,0.0335083
118,0.0335083
119,0.0335083
120,0.0335083
121,0.0335083
122,0.0335083
123,0.0335083
124,0.02145386
125,0.02145386
126,0.02145386
127,0.04083252
128,0.04083252
129,0.04083252
130,0.01882935
131,0.01882935
132,0.01882935
133,0.02093506
134,0.02093506
135,0.02093506
136,0.01361084
137,0.01361084
138,0.01831055
139,0.01831055
140,0.01831055
141,0.01934814
142,0.01934814
143,0.02618408
144,0.02618408
145,0.03927612
146,0.01464844
147,0.01464844
148,0.04345703
149,0.04345703
150,0.04345703
151,0.02093506
152,0.02093506
153,0.02093506
154,0.01989746
155,0.01989746
156,0.02774048
157,0.02774048
158,0.02774048
159,0.0670166
160,0.0670166
161,0.04397583
162,0.04397583
163,0.05130005
164,0.05130005
165,0.05130005
166,0.118866
167,0.118866
168,0.118866
169,0.118866
170,0.118866
171,0.118866
172,0.118866
173,0.118866
174,0.118866
175,0.1335449
176,0.1335449
177,0.1335449
178,0.1335449
179,0.04083252
180,0.04083252
181,0.04711914
182,0.04711914
183,0.04083252
184,0.04083252
185,0.06546021
186,0.0329895
187,0.0329895
188,0.0329895
189,0.05288696
190,0.05288696
191,0.04345703
192,0.04345703
193,0.04345703
194,0.03872681
195,0.03872681
196,0.04815674
197,0.04815674
198,0.04815674
199,0.05496216
200,0.04397583
201,0.04397583
202,0.04397583
203,0.04293823
204,0.04293823
205,0.04293823
206,0.04293823
207,0.06546021
208,0.06546021
209,0.06546021
210,0.06546021
211,0.04187012
212,0.04187012
213,0.04187012
214,0.04187012
215,0.05706787
216,0.02304077
217,0.02304077
218,0.02304077
219,0.02304077
220,0.02304077
221,0.02304077
222,0.02304077
223,0.02304077
224,0.02304077
225,0.04501343
226,0.04501343
227,0.04501343
228,0.08377075
229,0.08377075
230,0.08377075
231,0.08377075
232,0.05130005
233,0.05130005
234,0.05130005
235,0.09793091
236,0.09793091
237,0.05496216
238,0.05496216
239,0.05496216
240,0.05026245
241,0.05026245
242,0.1125793
243,0.1125793
244,0.1125793
245,0.1125793
246,0.1125793
247,0.1125793
248,0.08432007
249,0.08432007
250,0.08432007
251,0.06439209
252,0.06439209
253,0.06439209
254,0.04660034
255,0.04660034
256,0.04660034
257,0.04660034
258,0.04660034
259,0.04660034
260,0.04660034
261,0.04660034
262,0.04660034
263,0.04660034
264,0.05917358
265,0.05917358
266,0.05496216
267,0.05496216
268,0.05496216
269,0.03036499
270,0.03036499
