Time_s,Ch1
0,0
0.0078125,0
0.015625,0
0.0234375,0
0.03125,0.5263062
0.0390625,0.7536011
0.046875,0.7551575
0.0546875,0.7557983
0.0625,0.756073
0.0703125,0.7561951
0.078125,0.7562866
0.0859375,0.7563171
0.09375,0.7563477
0.1015625,0.7563477
0.109375,0.7563477
0.1171875,0.7563782
0.125,0.7563782
0.1328125,0.7563782
0.140625,0.7563782
0.1484375,0.7563782
0.15625,0.7563782
0.1640625,0.7563782
0.171875,0.7564087
0.1796875,0.7564087
0.1875,0.7564087
0.1953125,0.7564087
0.203125,0.7564087
0.2109375,0.7564087
0.21875,0.7564087
0.2265625,0.7564087
0.234375,0.7564087
0.2421875,0.7564087
0.25,0.7564087
0.2578125,0.7564087
0.265625,0.7564087
0.2734375,0.7564087
0.28125,0.7564087
0.2890625,0.7564087
0.296875,0.7564392
0.3046875,0.7564392
0.3125,0.7564392
0.3203125,0.7564392
0.328125,0.7564392
0.3359375,0.7564392
0.34375,0.7564392
0.3515625,0.7564392
0.359375,0.7564392
0.3671875,0.7564392
0.375,0.7564392
0.3828125,0.7564392
0.390625,0.7564392
0.3984375,0.7564392
0.40625,0.7564392
0.4140625,0.7564392
0.421875,0.7564697
0.4296875,0.7564697
0.4375,0.7564697
0.4453125,0.7564697
0.453125,0.7564697
0.4609375,0.7564697
0.46875,0.7564697
0.4765625,0.7564392
0.484375,0.7564392
0.4921875,0.7564392
0.5,0.7564392
0.5078125,0.7564087
0.515625,0.7564087
0.5234375,0.7564087
0.53125,0.7564087
0.5390625,0.7564087
0.546875,0.7564087
0.5546875,0.7564087
0.5625,0.7564087
0.5703125,0.7564087
0.578125,0.7564392
0.5859375,0.7564392
0.59375,0.7564392
0.6015625,0.7564392
0.609375,0.7564392
0.6171875,0.7564392
0.625,0.7564392
0.6328125,0.7564697
0.640625,0.7564697
0.6484375,0.7564697
0.65625,0.7564697
0.6640625,0.7564697
0.671875,0.7564697
0.6796875,0.7564697
0.6875,0.7565002
0.6953125,0.7565002
0.703125,0.7565002
0.7109375,0.7565002
0.71875,0.7565002
0.7265625,0.7565002
0.734375,0.7565308
0.7421875,0.7565308
0.75,0.7565308
0.7578125,0.7565613
0.765625,0.7565613
0.7734375,0.7565613
0.78125,0.7565613
0.7890625,0.7565308
0.796875,0.7565308
0.8046875,0.7565002
0.8125,0.7565308
0.8203125,0.7565002
0.828125,0.7565002
0.8359375,0.7565002
0.84375,0.7565308
0.8515625,0.7565308
0.859375,0.7565613
0.8671875,0.7565613
0.875,0.7565918
0.8828125,0.7566223
0.890625,0.7566528
0.8984375,0.7566528
0.90625,0.7566833
0.9140625,0.7566833
0.921875,0.7566833
0.9296875,0.7567139
0.9375,0.7567444
0.9453125,0.7567444
0.953125,0.7567749
0.9609375,0.7567749
0.96875,0.7567749
0.9765625,0.7568359
0.984375,0.7568359
0.9921875,0.7568665
1,0.756897
1.007812,0.756897
1.015625,0.7569275
1.023438,0.7569275
1.03125,0.7569275
1.039062,0.756958
1.046875,0.756958
1.054688,0.7569275
1.0625,0.7569275
1.070312,0.7569275
1.078125,0.7569275
1.085938,0.7569275
1.09375,0.7569275
1.101562,0.7569275
1.109375,0.756958
1.117188,0.756958
1.125,0.756958
1.132812,0.7569885
1.140625,0.7569885
1.148438,0.7569885
1.15625,0.757019
1.164062,0.757019
1.171875,0.757019
1.179688,0.757019
1.1875,0.757019
1.195312,0.757019
1.203125,0.7569885
1.210938,0.7569885
1.21875,0.7569885
1.226562,0.7569885
1.234375,0.7569885
1.242188,0.7569885
1.25,0.7569885
1.257812,0.7569885
1.265625,0.7569885
1.273438,0.757019
1.28125,0.757019
1.289062,0.757019
1.296875,0.757019
1.304688,0.757019
1.3125,0.757019
1.320312,0.757019
1.328125,0.757019
1.335938,0.757019
1.34375,0.757019
1.351562,0.757019
1.359375,0.757019
1.367188,0.757019
1.375,0.7569885
1.382812,0.756958
1.390625,0.756958
1.398438,0.756958
1.40625,0.756958
1.414062,0.7569885
1.421875,0.7569885
1.429688,0.7569885
1.4375,0.756958
1.445312,0.756958
1.453125,0.756958
1.460938,0.7569885
1.46875,0.7569885
1.476562,0.756958
1.484375,0.7569275
1.492188,0.756897
1.5,0.756897
1.507812,0.756897
1.515625,0.756897
1.523438,0.756897
1.53125,0.756897
1.539062,0.756897
1.546875,0.7569275
1.554688,0.7569275
1.5625,0.7569275
1.570312,0.7569275
1.578125,0.7569275
1.585938,0.756958
1.59375,0.756958
1.601562,0.756958
1.609375,0.756958
1.617188,0.756958
1.625,0.756958
1.632812,0.756958
1.640625,0.756958
1.648438,0.756958
1.65625,0.756958
1.664062,0.756958
1.671875,0.756958
1.679688,0.756958
1.6875,0.7569275
1.695312,0.7569275
1.703125,0.756958
1.710938,0.756958
1.71875,0.756958
1.726562,0.756958
1.734375,0.756958
1.742188,0.756958
1.75,0.7569275
1.757812,0.756897
1.765625,0.756897
1.773438,0.756897
1.78125,0.756897
1.789062,0.756897
1.796875,0.756897
1.804688,0.756897
1.8125,0.756897
1.820312,0.7568665
1.828125,0.7568359
1.835938,0.7568359
1.84375,0.7568359
1.851562,0.7568359
1.859375,0.7568054
1.867188,0.7568054
1.875,0.7568054
1.882812,0.7568359
1.890625,0.7568359
1.898438,0.7568359
1.90625,0.7568665
1.914062,0.7568665
1.921875,0.7568665
1.929688,0.756897
1.9375,0.756897
1.945312,0.756897
1.953125,0.756897
1.960938,0.756897
1.96875,0.7569275
1.976562,0.7569275
1.984375,0.756958
1.992188,0.756958
2,0.756958
2.007812,0.7569885
2.015625,0.7569885
2.023438,0.757019
2.03125,0.757019
2.039062,0.757019
2.046875,0.757019
2.054688,0.7570496
2.0625,0.7570496
2.070312,0.7570496
2.078125,0.7570496
2.085938,0.7570496
2.09375,0.7570801
2.101562,0.7570801
2.109375,0.7570801
2.117188,0.7570801
2.125,0.7570801
2.132812,0.7571106
2.140625,0.7571106
2.148438,0.7571106
2.15625,0.7571106
2.164062,0.7571106
2.171875,0.7571411
2.179688,0.7571411
2.1875,0.7571411
2.195312,0.7571411
2.203125,0.7571106
2.210938,0.7571106
2.21875,0.7571106
2.226562,0.7571106
2.234375,0.7571106
2.242188,0.7570801
2.25,0.7570801
2.257812,0.7571106
2.265625,0.7571106
2.273438,0.7571106
2.28125,0.7571106
2.289062,0.7571106
2.296875,0.7571106
2.304688,0.7571411
2.3125,0.7571411
2.320312,0.7571411
2.328125,0.7571716
2.335938,0.7571716
2.34375,0.7572021
2.351562,0.7572021
2.359375,0.7572021
2.367188,0.7572021
2.375,0.7572021
2.382812,0.7572327
2.390625,0.7572327
2.398438,0.7572632
2.40625,0.7572937
2.414062,0.7573242
2.421875,0.7573547
2.429688,0.7573547
2.4375,0.7573853
2.445312,0.7573853
2.453125,0.7573853
2.460938,0.7573853
2.46875,0.7573853
2.476562,0.7573853
2.484375,0.7574158
2.492188,0.7574158
2.5,0.7574463
2.507812,0.7574463
2.515625,0.7574768
2.523438,0.7574768
2.53125,0.7574768
2.539062,0.7575073
2.546875,0.7575073
2.554688,0.7575378
2.5625,0.7575378
2.570312,0.7575378
2.578125,0.7575378
2.585938,0.7575378
2.59375,0.7575378
2.601562,0.7575378
2.609375,0.7575378
2.617188,0.7575378
2.625,0.7575378
2.632812,0.7575378
2.640625,0.7575073
2.648438,0.7574768
2.65625,0.7574768
2.664062,0.7574768
2.671875,0.7574463
2.679688,0.7574463
2.6875,0.7574158
2.695312,0.7574158
2.703125,0.7574158
2.710938,0.7574158
2.71875,0.7574158
2.726562,0.7574158
2.734375,0.7574158
2.742188,0.7574158
2.75,0.7574463
2.757812,0.7574463
2.765625,0.7574463
2.773438,0.7574463
2.78125,0.7574463
2.789062,0.7573853
2.796875,0.7573547
2.804688,0.7573242
2.8125,0.7572937
2.820312,0.7572937
2.828125,0.7572937
2.835938,0.7572327
2.84375,0.7572327
2.851562,0.7572327
2.859375,0.7572021
2.867188,0.7571716
2.875,0.7571716
2.882812,0.7571411
2.890625,0.7571106
2.898438,0.7570801
2.90625,0.7570801
2.914062,0.7570801
2.921875,0.7570801
2.929688,0.7570496
2.9375,0.757019
2.945312,0.7569885
2.953125,0.7569885
2.960938,0.756958
2.96875,0.7569275
2.976562,0.756897
2.984375,0.756897
2.992188,0.7568665
3,0.7568665
3.007812,0.7568359
3.015625,0.7568054
3.023438,0.7568054
3.03125,0.7567749
3.039062,0.7567749
3.046875,0.7567444
3.054688,0.7567139
3.0625,0.7567139
3.070312,0.7566528
3.078125,0.7566528
3.085938,0.7566528
3.09375,0.7566528
3.101562,0.7566528
3.109375,0.7566528
3.117188,0.7566528
3.125,0.7566528
3.132812,0.7566528
3.140625,0.7566833
3.148438,0.7566833
3.15625,0.7566833
3.164062,0.7567139
3.171875,0.7567139
3.179688,0.7567139
3.1875,0.7567139
3.195312,0.7567139
3.203125,0.7567139
3.210938,0.7567139
3.21875,0.7567139
3.226562,0.7567139
3.234375,0.7567139
3.242188,0.7566833
3.25,0.7566833
3.257812,0.7566833
3.265625,0.7566833
3.273438,0.7566833
3.28125,0.7567139
3.289062,0.7567444
3.296875,0.7567444
3.304688,0.7567444
3.3125,0.7567444
3.320312,0.7567749
3.328125,0.7567749
3.335938,0.7567749
3.34375,0.7567749
3.351562,0.7568054
3.359375,0.7568054
3.367188,0.7568359
3.375,0.7568359
3.382812,0.7568359
3.390625,0.7568359
3.398438,0.7568359
3.40625,0.7568359
3.414062,0.7568665
3.421875,0.7568665
3.429688,0.7568665
3.4375,0.7568665
3.445312,0.756897
3.453125,0.7569275
3.460938,0.7569275
3.46875,0.7569275
3.476562,0.756897
3.484375,0.756897
3.492188,0.7568665
3.5,0.7568665
3.507812,0.7568359
3.515625,0.7568359
3.523438,0.7567749
3.53125,0.7567749
3.539062,0.7567749
3.546875,0.7567749
3.554688,0.7567749
3.5625,0.7567444
3.570312,0.7567139
3.578125,0.7567139
3.585938,0.7567139
3.59375,0.7567139
3.601562,0.7567749
3.609375,0.7568359
3.617188,0.7568665
3.625,0.7568665
3.632812,0.756958
3.640625,0.757019
3.648438,0.7570496
3.65625,0.7570496
3.664062,0.7570496
3.671875,0.7570496
3.679688,0.7570801
3.6875,0.7570801
3.695312,0.7570801
3.703125,0.7570801
3.710938,0.7570801
3.71875,0.7570801
3.726562,0.7570801
3.734375,0.7570801
3.742188,0.7570801
3.75,0.7571106
3.757812,0.7571411
3.765625,0.7571411
3.773438,0.7571411
3.78125,0.7571411
3.789062,0.7571411
3.796875,0.7571411
3.804688,0.7571411
3.8125,0.7571411
3.820312,0.7571716
3.828125,0.7571716
3.835938,0.7571716
3.84375,0.7571411
3.851562,0.7571411
3.859375,0.7571411
3.867188,0.7571411
3.875,0.7571411
3.882812,0.7571411
3.890625,0.7571716
3.898438,0.7571716
3.90625,0.7571716
3.914062,0.7571716
3.921875,0.7571411
3.929688,0.7571411
3.9375,0.7571411
