Time_s,Ch1
0,0
1,0
2,0
3,0
4,0
5,0.04437256
6,0.04437256
7,0.06030273
8,0.06030273
9,0.05389404
10,0.05389404
11,0.05236816
12,0.06121826
13,0.06121826
14,0.05911255
15,0.0567627
16,0.0567627
17,0.06100464
18,0.074646
19,0.074646
20,0.074646
21,0.074646
22,0.06942749
23,0.06942749
24,0.06942749
25,0.06942749
26,0.06384277
27,0.06384277
28,0.06384277
29,0.06384277
30,0.06384277
31,0.06384277
32,0.06384277
33,0.05319214
34,0.05319214
35,0.05319214
36,0.05319214
37,0.05026245
38,0.05026245
39,0.05172729
40,0.05172729
41,0.05148315
42,0.05148315
43,0.05148315
44,0.05148315
45,0.05148315
46,0.03964233
47,0.03964233
48,0.03964233
49,0.04260254
50,0.04260254
51,0.04260254
52,0.04260254
53,0.04403687
54,0.04403687
55,0.04403687
56,0.04373169
57,0.04373169
58,0.04373169
59,0.04916382
60,0.04916382
61,0.04916382
62,0.04916382
63,0.04916382
64,0.04916382
65,0.04812622
66,0.04812622
67,0.04812622
68,0.04812622
69,0.04953003
70,0.06240845
71,0.06240845
72,0.06240845
73,0.06240845
74,0.06118774
75,0.06118774
76,0.06118774
77,0.06118774
78,0.0609436
79,0.0609436
80,0.0609436
81,0.0675354
82,0.0675354
83,0.0675354
84,0.0675354
85,0.0675354
86,0.0675354
87,0.0675354
88,0.0675354
89,0.05371094
90,0.05371094
91,0.05371094
92,0.06011963
93,0.06011963
94,0.06011963
95,0.06011963
96,0.06011963
97,0.06011963
98,0.05212402
99,0.05212402
100,0.04727173
101,0.0496521
102,0.0496521
103,0.05221558
104,0.05221558
105,0.05221558
106,0.04891968
107,0.06750488
108,0.06750488
109,0.06750488
110,0.05892944
111,0.05892944
112,0.07519531
113,0.07489014
114,0.07489014
115,0.07489014
116,0.07183838
117,0.07183838
118,0.0730896
119,0.0730896
120,0.07424927
121,0.07424927
122,0.06692505
123,0.06692505
124,0.07373047
125,0.07373047
126,0.07211304
127,0.07211304
128,0.07211304
129,0.06781006
130,0.06781006
131,0.06658936
132,0.06658936
133,0.06658936
134,0.06219482
135,0.06219482
136,0.06436157
137,0.06436157
138,0.06713867
139,0.06713867
140,0.06594849
141,0.06594849
142,0.06594849
143,0.06472778
144,0.06472778
145,0.06729126
146,0.06729126
147,0.0670166
148,0.0670166
149,0.06976318
150,0.06976318
151,0.06787109
152,0.06787109
153,0.06735229
154,0.06735229
155,0.06735229
156,0.06442261
157,0.06442261
158,0.06582642
159,0.06582642
160,0.06665039
161,0.06665039
162,0.06771851
163,0.06771851
164,0.07061768
165,0.07061768
166,0.07061768
167,0.06677246
168,0.06677246
169,0.07015991
170,0.07015991
171,0.07015991
172,0.06689453
173,0.06787109
174,0.06787109
175,0.06900024
176,0.06900024
177,0.0690918
178,0.0690918
179,0.0663147
180,0.0663147
181,0.07022095
182,0.07022095
183,0.06509399
184,0.06509399
185,0.07077026
186,0.07077026
187,0.06982422
188,0.06982422
189,0.06771851
190,0.06771851
191,0.0692749
192,0.0692749
193,0.0692749
194,0.06408691
195,0.06408691
196,0.06402588
197,0.06988525
198,0.06988525
199,0.06985474
200,0.06985474
201,0.07113647
202,0.07113647
203,0.06954956
204,0.06954956
205,0.06954956
206,0.06954956
207,0.06192017
208,0.06192017
209,0.06680298
210,0.06680298
211,0.06680298
212,0.05990601
213,0.05990601
214,0.05883789
215,0.05883789
216,0.05755615
217,0.05755615
218,0.07217407
219,0.07217407
220,0.07217407
221,0.0668335
222,0.0668335
223,0.06933594
224,0.06933594
225,0.07546997
226,0.08404541
227,0.08404541
228,0.08139038
229,0.08139038
230,0.08139038
231,0.08139038
232,0.0765686
233,0.0765686
234,0.0765686
235,0.05865479
236,0.05865479
237,0.06539917
238,0.06539917
239,0.06539917
240,0.06103516
241,0.05776978
242,0.05776978
243,0.05776978
244,0.05776978
245,0.05776978
246,0.05776978
247,0.05776978
248,0.04586792
249,0.04586792
250,0.04586792
251,0.04586792
252,0.04586792
253,0.04586792
254,0.04888916
255,0.04888916
256,0.04940796
257,0.04940796
258,0.04928589
259,0.04928589
260,0.04928589
261,0.04928589
262,0.04486084
263,0.04486084
264,0.05032349
265,0.04956055
266,0.04956055
267,0.06231689
